id,user,created_at,text,fav,RT,follower,follows
1326313607571763201,tahkee1173,2020-11-10 23:59:40,@HamasakiYukio @katsuyatakasu 横から失礼垢みせて頂きましたが、全ての事否定されていますよね？現地情報の確かな話でしょうか？大統領選の話は全てデマなのでしょうか？,1,0,95,141
1326312188252844034,JDSDE214,2020-11-10 23:54:02,怖いものは存在しない方がいい、という考え方は人間の心に訴えかけるものがあるので、反対したい対象に対する恐怖心をひたすら増幅していく傾向にあるのだが、仮にそれがデマ等の根拠のないものだったとしても、それを認めてしまえば、反対している自分を否定してしまうので、自己矛盾を起こすんだな。,9,10,1092,528
1326305516704837632,questiontime_bm,2020-11-10 23:27:31,デマを流すのは簡単だが、そのデマを否定するのには恐ろしく労力がかかるという実例。 / 他82件のコメント https://t.co/TztRRVvccZ “https://t.co/JBdITqXOmb : 米選挙で死者が投票したとの情報拡散、実際に調査した結果” https://t.co/Lgf8c6VKGS,4,1,1075,1121
1326298138160721920,conundrum_18,2020-11-10 22:58:12,.@PJ8SyrtXGMb1Byu @2012wat こんな事実無根のデマを流してまで他者を否定する奴の言ってることですよ、それ。 #すけろく https://t.co/CyRo94qa1D,0,0,183,765
1326295395689918465,FFMatudo,2020-11-10 22:47:18,@hotategai05 @cnn_co_jp 事実を直視できないのは、カルト信者と同じです。不正選挙なんてウソです。まず、言い出した本人たちが何も根拠を示せないで言い出してます。そして、次々に証拠付きで否定されてます。デマや嘘を守っては、人として間違いです。勇気をもって考えを改めることを期待します。,0,0,3382,2090
1326282926569316352,conundrum_18,2020-11-10 21:57:45,そうだね、こんな事実無根のデマをばら撒いてまで福島の被災者等を否定する2012watのような奴には、わざわざ近づかない方がいいよね。2012watも寄ってくるなよ（一同大爆笑）。#すけろく https://t.co/ebmuqljBqD,1,1,183,765
1326278593404571649,shop_kakiko2,2020-11-10 21:40:32,アメリカのメディアもヤフーもクズ過ぎる。印象操作がミエミエですよ。今の奥さんにデマ報道を否定されたら、次は別れた奥さんですか。別れた奥さんなら普通は良い事を言わないよね。こういう事をすればするほどメディアの信用が落ちていく。https://t.co/ilLY8tOkvI,125,26,2671,2653
1326275472200622081,fufu99ri1,2020-11-10 21:28:08,米選挙で死者が投票したとの情報拡散、実際に調査した結果 https://t.co/osfwW3fJpG @cnn_co_jpより 次々にデマが検証されて否定されている。(^^)ところが、デマを信じたい人々は情報を更新しないので、相変わらずトランプが不正選挙で負けたと思い込んでいるんだろう。困るよねえ(&gt;_&lt;),3,1,1004,536
1326247649964666881,junko1958,2020-11-10 19:37:34,嘘。NYTが当確は変わっていないとネットで出回るデマを否定 https://t.co/UJLub5SXrv https://t.co/JtzbfCSB06,7,0,4911,3392
1326246918259937280,NetSweetsW,2020-11-10 19:34:40,脳なしだから素性の判らない人物のツイートが書いたデマ情報を、自ら目にしたものも否定して簡単にクリックする。,0,0,38,4
1326233823709863936,KAZUHIRO_A,2020-11-10 18:42:38,@hiramatsu_osaka 市民から否定されて失職した元市長が提唱する市民協働って、自分のお仲間しか市民と思ってないようにしか見えなくて笑えるこういうオールド政治屋は毎日新聞のようなデマメディアと同様に表舞台から早々に退場してほしいもんだ。,11,0,269,503
1326220624381931521,tsukuru_ouu,2020-11-10 17:50:11,@ramos59454108 なるほどramosさんはthe sensitivity of RT-PCR is 71%と述べた論文を否定する気はないのですね。その論文を「PCRの感度は71%」と私が紹介するとデマだと決め付けるわけですね。なるほど「元の論文には『採取感度』の語はないけど、sensitivityを採取感度と訳さなければデマ」と言うのですね,0,0,4315,612
1326219602234273793,FvTF2DxpChUP4pM,2020-11-10 17:46:07,@jw2M2ZHAh4djFrO @BjOgu5F4DGuCGwn @kentaha9 @Mi5Sas @den198804 @Number_2019 @jupiterthunder_ @karusatonotora @ekesete1 @KikuchiTarao @Magmag40887776 @tim123456789021 @jHvNUIDakd3KDDd @teika_ibuki @magoichisaiga @kusoyaroh333 @2goRPeSy5hsxd37 @toujirou_wwww @green_hell_ad @DSTpnWVytBDmK1a @takej9S9YPrCit8 @hetare_keieisha @kokugouchange @24adidasa @BuenaVista000 @0710joe @TEAR_ACCEL @T5J5UQTOuGt2PJo @rompaaroom @Se38O4MVQWEDsDp @with_pride1 @gunkan511 @ha8ka0 @ljuB84xP4wBa3JI @hakutaku2019 @kagemitsu_koryu @Sf8Mf3o2JFKv5uk @W9UlS7cVJ9XrFbp @RzvuNcAXuvdJ3KE @shamasan @cp0GUGoG5QAaeRd @JUKQOzC3fh5IJs1 @NANO21399890 @Tsun22oo @noharra @idog38599394 @foresight1974 @TOSHI_roudousha @yu77799 @yuugekiinternet こんなのもある。デマだっていう話。皇室がある、世界で一番長い。それだけでどっちが偉いとか関係なく、素晴らしいもの。それを世界が認めてる。パヨクは、断絶したとか？日王とか？その辺否定する。認めたくないから。そういう話,3,0,212,202
1326215938207739906,7xxoyNhu2riivDS,2020-11-10 17:31:34,@EAST64814358 #デマ 引用失礼します これは、否定しとかないとと思いましたので。https://t.co/UaoDaqtFnf,0,0,74,217
1326212302845014016,Y_whales,2020-11-10 17:17:07,トランプ大統領がいろいろ放言するが、あとで否定されるデマがほとんど、いくら噂を流しても事実は変わらないさ。,0,0,1457,1480
1326197567277961216,NgtDema,2020-11-10 16:18:34,【デマ １０】NGTメンバーの暴行事件関与メンバーの事件関与については、警察、当時の支配人、本人、そして容疑者等、山口氏を除く口を開いたすべての関係者が否定している。容疑者は事件当夜に終始曖昧な回答を繰返したが、推しである山口氏に不利なことが言えなかったためと裁判で後に供述,0,0,98,99
1326193077594193920,hyyro,2020-11-10 16:00:43,「なるほど、そんな方法で特定するんだ！」と簡単に信じて嬉々として拡散するの、デマの典型パターンですよ…って冷静に否定する情報は拡散されないんだよね面白くないから人は自分が信じたい情報を信じ、拡散する,3,0,1017,1011
1326184870666596354,ohitori10man,2020-11-10 15:28:07,@eIJMl4zY2kdoHTk @raizin600 @tomosaki9 @H1v2xTCaUjCFULR @nikkei トランプ派がデマ流すたびに否定される流れは飽きてます。まぁ、トランプの周囲少数がトランプの味方に残り（一般支持者もいますが）、世界中はトランプを過去の人と見ている現在、ここからどれだけ検討するかお手並み拝見しますよ。ひっくりかえせたら拍手３回してあげます。,1,0,36,1
